trade_id,account_num,activity,CUSIP,quantity,price,timestamp,status
2001,176125814,buy,VZXCFM2E1,8894,69.51,2024-09-25 14:06:36,valid
2002,573185477,sell,BD8FT6LX0,494,212.21,2024-09-25 14:06:36,valid
2003,950591064,sell,6TXFYKS84,5363,384.28,2024-09-25 14:06:36,valid
2004,341663960,sell,PPS9FYRP5,6335,325.80,2024-09-25 14:06:36,valid
2005,793638064,buy,2DQ9ZBAU4,6136,224.21,2024-09-25 14:06:36,valid
2006,212710691,buy,21E697S20,4239,139.87,2024-09-25 14:06:36,valid
2007,535654259,buy,K91PC6X92,7896,81.32,2024-09-25 14:06:36,valid
2008,879079402,sell,H0SMC4E57,529,265.18,2024-09-25 14:06:36,valid
2009,136146541,buy,HGPWH8TX2,7977,96.31,2024-09-25 14:06:36,valid
2010,997214667,buy,I91UB8GM1,5533,273.97,2024-09-25 14:06:36,valid
2011,762612702,sell,GZN98RXE9,5011,397.51,2024-09-25 14:06:36,valid
2012,760135194,buy,JTK47JVN5,9607,277.32,2024-09-25 14:06:36,valid
2013,643553478,buy,1BWZ67PL9,4950,381.09,2024-09-25 14:06:36,valid
2014,464460989,sell,A1JNLPUB2,8253,457.90,2024-09-25 14:06:36,valid
2015,512423570,buy,S6D67ERE4,8460,116.71,2024-09-25 14:06:36,valid
2016,707944678,buy,62NBKBMV3,3493,85.42,2024-09-25 14:06:36,valid
2017,666250617,buy,ZHR1VWWY1,1051,15.67,2024-09-25 14:06:36,valid
2018,219119344,buy,FNKRHKBZ2,7170,353.81,2024-09-25 14:06:36,valid
2019,719312547,buy,V8A3L9ZE2,4877,376.59,2024-09-25 14:06:36,valid
2020,279438851,sell,B3HG9W935,865,273.94,2024-09-25 14:06:36,valid
2021,289229884,sell,AT76AGIU5,7,220.60,2024-09-25 14:06:36,valid
2022,658255943,buy,57BQNKL58,7332,272.68,2024-09-25 14:06:36,valid
2023,778526037,sell,72SGME3J6,8071,73.94,2024-09-25 14:06:36,valid
2024,716377920,buy,D5LDEPMV2,8841,297.74,2024-09-25 14:06:36,valid
2025,822115031,buy,SGR9ATQP0,1929,458.24,2024-09-25 14:06:36,valid
2026,513666353,sell,2J4W0YWE4,3080,376.89,2024-09-25 14:06:36,valid
2027,178659655,buy,10N8KWNH3,554,228.26,2024-09-25 14:06:36,valid
2028,260232986,sell,H9JABUC91,3923,70.19,2024-09-25 14:06:36,valid
2029,924195575,sell,TAMBVA110,5464,239.57,2024-09-25 14:06:36,valid
2030,548246664,sell,IP4WTGWE1,5543,281.57,2024-09-25 14:06:36,valid
2031,308159572,sell,DAGAZRID1,6278,358.38,2024-09-25 14:06:36,valid
2032,349056755,sell,DLEPH6UW6,4832,432.60,2024-09-25 14:06:36,valid
2033,722969531,sell,3VD1Z1I04,5709,386.26,2024-09-25 14:06:36,valid
2034,386938611,buy,D1A21D059,6916,35.07,2024-09-25 14:06:36,valid
2035,515982309,sell,OFV4P3JW6,9571,338.78,2024-09-25 14:06:36,valid
2036,231210349,sell,2VO2YTL15,2010,487.77,2024-09-25 14:06:36,valid
2037,106614588,sell,C9XVHZXI4,2612,250.47,2024-09-25 14:06:36,valid
2038,316603551,sell,MFRVL7AC1,1439,480.71,2024-09-25 14:06:36,valid
2039,265619918,buy,MB1A28L07,6479,298.41,2024-09-25 14:06:36,valid
2040,416184582,buy,YN7G3YJ46,407,145.49,2024-09-25 14:06:36,valid
2041,788392455,buy,Y51RBQOD9,6514,270.90,2024-09-25 14:06:36,valid
2042,351021679,sell,1E6CGHH47,6060,77.26,2024-09-25 14:06:36,valid
2043,662575462,sell,HSOZJSMU7,8518,343.12,2024-09-25 14:06:36,valid
2044,777463901,sell,GZJP688G5,9179,180.32,2024-09-25 14:06:36,valid
2045,370702667,sell,FEDOZAMO2,9410,163.89,2024-09-25 14:06:36,valid
2046,757764182,sell,A70MQ7755,260,225.88,2024-09-25 14:06:36,valid
2047,316892583,buy,8MPVQTHB6,470,366.31,2024-09-25 14:06:36,valid
2048,924420470,buy,AGKPOM4E9,8990,335.82,2024-09-25 14:06:36,valid
2049,532119697,buy,9ZWYE31Y9,6379,178.18,2024-09-25 14:06:36,valid
2050,865526711,sell,PQQNEBPZ5,9359,276.86,2024-09-25 14:06:36,valid
2051,663671360,sell,0KSG1C4O8,8657,254.63,2024-09-25 14:06:36,valid
2052,302822707,buy,1XXLGHLR9,7768,270.96,2024-09-25 14:06:36,valid
2053,227322660,buy,IYT0F3V75,2202,349.25,2024-09-25 14:06:36,valid
2054,714194773,sell,HL7ZZO4O6,9351,368.37,2024-09-25 14:06:36,valid
2055,845382333,buy,F5IHV4KL7,9403,496.06,2024-09-25 14:06:36,valid
