trade_id,account_num,activity,CUSIP,quantity,price,timestamp,status
8001,599528474,sell,LCSQ42EO9,7990,240.49,2024-09-25 14:06:36,valid
8002,461704943,sell,W5RDXF784,8102,106.13,2024-09-25 14:06:36,valid
8003,130555227,buy,EMB457Z09,4643,126.03,2024-09-25 14:06:36,valid
8004,141973268,sell,HW8WMA9C3,9327,308.70,2024-09-25 14:06:36,valid
8005,581606487,sell,L6GQLGT92,2506,444.79,2024-09-25 14:06:36,valid
8006,803782349,sell,3MAGDB4Y7,7374,103.78,2024-09-25 14:06:36,valid
8007,976602074,sell,89OT4COU2,1161,259.85,2024-09-25 14:06:36,valid
8008,523157020,sell,BRIBYNKE7,1033,267.40,2024-09-25 14:06:36,valid
8009,314564421,sell,NCPXW5LZ4,3067,374.84,2024-09-25 14:06:36,valid
8010,176882515,buy,YYMJ2BQ42,8750,451.96,2024-09-25 14:06:36,valid
8011,420956954,buy,2IDPI4FT4,6768,335.63,2024-09-25 14:06:36,valid
8012,921565012,buy,WMIYCM789,9183,374.67,2024-09-25 14:06:36,valid
8013,516577586,sell,XKN8M7FK9,9621,411.00,2024-09-25 14:06:36,valid
8014,425189295,sell,OPN69Y6R3,2772,99.77,2024-09-25 14:06:36,valid
8015,949464002,sell,Y2G241C74,8488,17.42,2024-09-25 14:06:36,valid
8016,231371352,buy,WD1AIY3R9,6519,256.46,2024-09-25 14:06:36,valid
8017,875153860,sell,LGQO7ZOL6,3911,333.20,2024-09-25 14:06:36,valid
8018,130100139,buy,S1P52S320,1710,225.39,2024-09-25 14:06:36,valid
8019,204055772,buy,V41Y3CEY5,1481,298.16,2024-09-25 14:06:36,valid
8020,135742110,buy,LGWQNQJJ7,9937,463.24,2024-09-25 14:06:36,valid
8021,355953363,buy,0TXNZ73X3,8999,389.67,2024-09-25 14:06:36,valid
8022,416363899,buy,QMKNZV0J5,4491,65.13,2024-09-25 14:06:36,valid
8023,523318647,buy,D9J4Z2NL6,557,12.22,2024-09-25 14:06:36,valid
8024,503166812,sell,VK85YEZ99,2892,40.87,2024-09-25 14:06:36,valid
8025,504495226,sell,N9WMNSOY7,7817,498.84,2024-09-25 14:06:36,valid
8026,220718035,sell,7OLNC2Q11,4010,96.03,2024-09-25 14:06:36,valid
8027,805381989,buy,OOR2RVL66,6971,311.66,2024-09-25 14:06:36,valid
8028,191180032,buy,FNFI2QEG0,753,276.32,2024-09-25 14:06:36,valid
8029,911750756,buy,O88ZC9DV8,6573,119.86,2024-09-25 14:06:36,valid
8030,772581610,sell,4LAPNRRH4,752,54.22,2024-09-25 14:06:36,valid
8031,291548499,buy,Z9AZMR8C8,4299,197.18,2024-09-25 14:06:36,valid
8032,717893609,buy,FEVMSOXR5,7279,61.13,2024-09-25 14:06:36,valid
8033,519790643,sell,SCMU3KNS1,4615,341.57,2024-09-25 14:06:36,valid
8034,969173216,buy,HMLBVQ5L5,5265,355.37,2024-09-25 14:06:36,valid
8035,929438235,buy,HIHOE1UM5,9255,323.04,2024-09-25 14:06:36,valid
8036,508403344,buy,M8EDJRO35,139,272.83,2024-09-25 14:06:36,valid
8037,234874869,sell,JLLZWX6N1,1667,207.72,2024-09-25 14:06:36,valid
8038,311708064,sell,IH6TQK5A6,2594,240.21,2024-09-25 14:06:36,valid
8039,550923342,buy,RJHWTMAQ5,8016,135.23,2024-09-25 14:06:36,valid
8040,607299811,sell,95T3NRMV7,9627,469.40,2024-09-25 14:06:36,valid
8041,875011165,sell,YRAGJ7TU6,3199,350.70,2024-09-25 14:06:36,valid
8042,542504575,sell,VDQ5ALIH6,4221,356.57,2024-09-25 14:06:36,valid
8043,219565671,sell,GWLM9GR66,9977,476.72,2024-09-25 14:06:36,valid
8044,264289630,buy,9ZXB0N319,6527,355.75,2024-09-25 14:06:36,valid
