8195620064853095|MasterCard|buy|21.42|1619.04
8195620064853095|MasterCard|buy|21.42|1619.04
9601321503648962|Visa|buy|120.08|3230.9
4694436678795755|MasterCard|buy|391.5|4949.46
9782029184388915|MasterCard|buy|129.94|2803.93
9919850246844485|Visa|buy|156.8|4363.17
7428022822792545|MasterCard|buy|268.85|4887.52
5468146206009474|Visa|buy|431.17|2724.46
8682375389141346|Visa|buy|190.75|1607.93
8682375389141346|Visa|buy|190.75|1607.93
6807391746609528|MasterCard|buy|92.35|3084.72
0169626228983615|MasterCard|buy|484.06|2840.25
2886837619452271|MasterCard|buy|440.81|1586.26
2886837619452271|MasterCard|buy|440.81|1586.26
9947077880582519|MasterCard|buy|22.71|2791.89
